"","YAG","region","SECTIONNAME","trained_in_region","number_of_providers","subject_name","living_in_region","earnings_median","difference","difference_prop"
"3957",1,"South East","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",135,11,"Mathematical sciences",125,25600,-10,-0.0740740740740741
"3958",1,"South East","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",115,16,"Media, journalism and communications",115,20400,0,0
"3959",1,"South East","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",15,6,"Medical sciences",20,25900,5,0.333333333333333
"3960",1,"South East","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0,1,"Medicine and dentistry",5,-10000,5,Inf
"3961",1,"South East","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",25,7,"Nursing and midwifery",20,24100,-5,-0.2
"3962",1,"South East","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",80,18,"Performing arts",60,20700,-20,-0.25
"3963",1,"South East","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,4,"Pharmacology, toxicology and pharmacy",15,29600,10,2
"3964",1,"South East","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",45,13,"Philosophy and religious studies",50,22600,5,0.111111111111111
"3965",1,"South East","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",60,9,"Physics and astronomy",70,27900,10,0.166666666666667
"3966",1,"South East","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",60,13,"Politics",85,23400,25,0.416666666666667
"3967",1,"South East","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",130,17,"Psychology",120,21900,-10,-0.0769230769230769
"3968",1,"South East","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",95,14,"Sociology, social policy and anthropology",75,20100,-20,-0.210526315789474
"3969",1,"South East","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",20,9,"Sport and exercise sciences",35,19300,15,0.75
"3970",1,"South East","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0,1,"Veterinary sciences",100,30300,100,Inf
"3971",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",0,2,"Agriculture, food and related studies",5,-10000,5,Inf
"3972",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",15,8,"Allied health",20,22300,5,0.333333333333333
"3973",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,5,"Architecture, building and planning",5,-10000,0,0
"3974",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",25,11,"Biosciences",25,23300,0,0
"3975",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",80,16,"Business and management",95,27700,15,0.1875
"3976",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",10,4,"Chemistry",10,-10000,0,0
"3977",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",120,1,"Combined and general studies",25,28100,-95,-0.791666666666667
"3978",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",30,8,"Computing",20,31800,-10,-0.333333333333333
"3979",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",15,9,"Creative arts and design",20,16800,5,0.333333333333333
"3980",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",35,9,"Economics",30,29200,-5,-0.142857142857143
"3981",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",65,11,"Education and teaching",45,22600,-20,-0.307692307692308
"3982",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",60,10,"Engineering",50,29900,-10,-0.166666666666667
"3983",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",55,13,"English studies",30,21900,-25,-0.454545454545455
"3984",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",15,3,"General, applied and forensic sciences",15,21900,0,0
"3985",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",70,9,"Geography, earth and environmental studies",65,22600,-5,-0.0714285714285714
"3986",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",70,9,"Health and social care",50,27700,-20,-0.285714285714286
"3987",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",95,11,"History and archaeology",75,24100,-20,-0.210526315789474
"3988",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",35,11,"Languages and area studies",25,26300,-10,-0.285714285714286
"3989",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",95,14,"Law",55,23700,-40,-0.421052631578947
"3990",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",10,4,"Materials and technology",5,-10000,-5,-0.5
"3991",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",40,7,"Mathematical sciences",25,27400,-15,-0.375
"3992",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",15,9,"Media, journalism and communications",10,17900,-5,-0.333333333333333
"3993",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",0,1,"Medical sciences",0,-10000,0,NA
"3994",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",10,3,"Medicine and dentistry",10,52900,0,0
"3995",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",15,6,"Nursing and midwifery",20,35000,5,0.333333333333333
"3996",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",20,12,"Performing arts",25,15300,5,0.25
"3997",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",0,1,"Pharmacology, toxicology and pharmacy",5,-10000,5,Inf
"3998",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",30,11,"Philosophy and religious studies",20,23700,-10,-0.333333333333333
"3999",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",15,5,"Physics and astronomy",15,24100,0,0
"4000",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",50,10,"Politics",60,25200,10,0.2
"4001",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",115,16,"Psychology",60,22600,-55,-0.478260869565217
"4002",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",190,14,"Sociology, social policy and anthropology",150,23000,-40,-0.210526315789474
"4003",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",40,9,"Sport and exercise sciences",45,22300,5,0.125
"4004",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",0,1,"Veterinary sciences",NA,NA,NA,NA
"4005",1,"South East","REAL ESTATE ACTIVITIES",0,2,"Allied health",0,-10000,0,NA
"4006",1,"South East","REAL ESTATE ACTIVITIES",25,6,"Architecture, building and planning",25,27700,0,0
"4007",1,"South East","REAL ESTATE ACTIVITIES",0,2,"Biosciences",5,-10000,5,Inf
"4008",1,"South East","REAL ESTATE ACTIVITIES",130,16,"Business and management",70,23400,-60,-0.461538461538462
"4009",1,"South East","REAL ESTATE ACTIVITIES",0,2,"Chemistry",0,-10000,0,NA
"4010",1,"South East","REAL ESTATE ACTIVITIES",20,1,"Combined and general studies",5,-10000,-15,-0.75
"4011",1,"South East","REAL ESTATE ACTIVITIES",5,4,"Computing",0,-10000,-5,-1
"4012",1,"South East","REAL ESTATE ACTIVITIES",20,11,"Creative arts and design",25,19000,5,0.25
"4013",1,"South East","REAL ESTATE ACTIVITIES",5,5,"Economics",5,-10000,0,0
"4014",1,"South East","REAL ESTATE ACTIVITIES",5,5,"Education and teaching",5,-10000,0,0
"4015",1,"South East","REAL ESTATE ACTIVITIES",5,2,"Engineering",5,-10000,0,0
"4016",1,"South East","REAL ESTATE ACTIVITIES",25,10,"English studies",20,21500,-5,-0.2
"4017",1,"South East","REAL ESTATE ACTIVITIES",5,3,"General, applied and forensic sciences",0,-10000,-5,-1
"4018",1,"South East","REAL ESTATE ACTIVITIES",10,7,"Geography, earth and environmental studies",10,20400,0,0
"4019",1,"South East","REAL ESTATE ACTIVITIES",10,5,"Health and social care",5,-10000,-5,-0.5
"4020",1,"South East","REAL ESTATE ACTIVITIES",25,9,"History and archaeology",15,21700,-10,-0.4
"4021",1,"South East","REAL ESTATE ACTIVITIES",10,6,"Languages and area studies",5,-10000,-5,-0.5
"4022",1,"South East","REAL ESTATE ACTIVITIES",20,11,"Law",10,-10000,-10,-0.5
"4023",1,"South East","REAL ESTATE ACTIVITIES",0,3,"Materials and technology",NA,NA,NA,NA
"4024",1,"South East","REAL ESTATE ACTIVITIES",5,4,"Mathematical sciences",5,-10000,0,0
"4025",1,"South East","REAL ESTATE ACTIVITIES",10,6,"Media, journalism and communications",10,-10000,0,0
"4026",1,"South East","REAL ESTATE ACTIVITIES",0,1,"Medical sciences",0,-10000,0,NA
"4027",1,"South East","REAL ESTATE ACTIVITIES",0,1,"Nursing and midwifery",0,-10000,0,NA
"4028",1,"South East","REAL ESTATE ACTIVITIES",20,12,"Performing arts",15,18200,-5,-0.25
"4029",1,"South East","REAL ESTATE ACTIVITIES",5,4,"Philosophy and religious studies",5,-10000,0,0
"4030",1,"South East","REAL ESTATE ACTIVITIES",0,1,"Physics and astronomy",0,-10000,0,NA
"4031",1,"South East","REAL ESTATE ACTIVITIES",5,4,"Politics",5,-10000,0,0
"4032",1,"South East","REAL ESTATE ACTIVITIES",20,7,"Psychology",10,21900,-10,-0.5
"4033",1,"South East","REAL ESTATE ACTIVITIES",20,9,"Sociology, social policy and anthropology",15,21500,-5,-0.25
"4034",1,"South East","REAL ESTATE ACTIVITIES",10,7,"Sport and exercise sciences",15,19700,5,0.5
"4035",1,"South East","TRANSPORTATION AND STORAGE",0,2,"Agriculture, food and related studies",5,-10000,5,Inf
"4036",1,"South East","TRANSPORTATION AND STORAGE",5,3,"Allied health",5,-10000,0,0
"4037",1,"South East","TRANSPORTATION AND STORAGE",5,3,"Architecture, building and planning",5,-10000,0,0
"4038",1,"South East","TRANSPORTATION AND STORAGE",10,8,"Biosciences",5,-10000,-5,-0.5
"4039",1,"South East","TRANSPORTATION AND STORAGE",170,15,"Business and management",140,25200,-30,-0.176470588235294
"4040",1,"South East","TRANSPORTATION AND STORAGE",5,3,"Chemistry",5,-10000,0,0
"4041",1,"South East","TRANSPORTATION AND STORAGE",45,2,"Combined and general studies",10,-10000,-35,-0.777777777777778
"4042",1,"South East","TRANSPORTATION AND STORAGE",10,5,"Computing",10,19700,0,0
"4043",1,"South East","TRANSPORTATION AND STORAGE",25,8,"Creative arts and design",20,18200,-5,-0.2
"4044",1,"South East","TRANSPORTATION AND STORAGE",10,7,"Economics",5,-10000,-5,-0.5
"4045",1,"South East","TRANSPORTATION AND STORAGE",10,3,"Education and teaching",10,-10000,0,0
"4046",1,"South East","TRANSPORTATION AND STORAGE",35,8,"Engineering",45,29200,10,0.285714285714286
"4047",1,"South East","TRANSPORTATION AND STORAGE",20,9,"English studies",15,19000,-5,-0.25
"4048",1,"South East","TRANSPORTATION AND STORAGE",5,2,"General, applied and forensic sciences",0,-10000,-5,-1
"4049",1,"South East","TRANSPORTATION AND STORAGE",20,6,"Geography, earth and environmental studies",30,22600,10,0.5
"4050",1,"South East","TRANSPORTATION AND STORAGE",0,2,"Health and social care",0,-10000,0,NA
"4051",1,"South East","TRANSPORTATION AND STORAGE",30,10,"History and archaeology",20,22300,-10,-0.333333333333333
"4052",1,"South East","TRANSPORTATION AND STORAGE",20,9,"Languages and area studies",15,21900,-5,-0.25
"4053",1,"South East","TRANSPORTATION AND STORAGE",30,11,"Law",15,24100,-15,-0.5
"4054",1,"South East","TRANSPORTATION AND STORAGE",10,3,"Materials and technology",5,-10000,-5,-0.5
"4055",1,"South East","TRANSPORTATION AND STORAGE",20,7,"Mathematical sciences",20,28700,0,0
"4056",1,"South East","TRANSPORTATION AND STORAGE",10,8,"Media, journalism and communications",10,17500,0,0
"4057",1,"South East","TRANSPORTATION AND STORAGE",0,1,"Medical sciences",0,-10000,0,NA
"4058",1,"South East","TRANSPORTATION AND STORAGE",0,1,"Medicine and dentistry",0,-10000,0,NA
"4059",1,"South East","TRANSPORTATION AND STORAGE",5,3,"Nursing and midwifery",5,-10000,0,0
"4060",1,"South East","TRANSPORTATION AND STORAGE",35,14,"Performing arts",25,17200,-10,-0.285714285714286
"4061",1,"South East","TRANSPORTATION AND STORAGE",5,4,"Philosophy and religious studies",5,-10000,0,0
"4062",1,"South East","TRANSPORTATION AND STORAGE",5,4,"Physics and astronomy",0,-10000,-5,-1
"4063",1,"South East","TRANSPORTATION AND STORAGE",15,7,"Politics",10,23700,-5,-0.333333333333333
"4064",1,"South East","TRANSPORTATION AND STORAGE",45,11,"Psychology",20,22600,-25,-0.555555555555556
"4065",1,"South East","TRANSPORTATION AND STORAGE",25,8,"Sociology, social policy and anthropology",20,20100,-5,-0.2
"4066",1,"South East","TRANSPORTATION AND STORAGE",15,8,"Sport and exercise sciences",10,20400,-5,-0.333333333333333
"4067",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0,1,"Agriculture, food and related studies",0,-10000,0,NA
"4068",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0,1,"Allied health",0,-10000,0,NA
"4069",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",15,7,"Business and management",20,23700,5,0.333333333333333
"4070",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",5,3,"Chemistry",5,-10000,0,0
"4071",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",10,1,"Combined and general studies",NA,NA,NA,NA
"4072",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0,1,"Computing",0,-10000,0,NA
"4073",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0,1,"Creative arts and design",5,-10000,5,Inf
"4074",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",15,6,"Engineering",10,28500,-5,-0.333333333333333
"4075",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0,1,"General, applied and forensic sciences",0,-10000,0,NA
"4076",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",15,6,"Geography, earth and environmental studies",20,23700,5,0.333333333333333
"4077",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",5,1,"History and archaeology",NA,NA,NA,NA
"4078",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0,2,"Law",5,-10000,5,Inf
"4079",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0,1,"Mathematical sciences",0,-10000,0,NA
"4080",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0,1,"Medical sciences",0,-10000,0,NA
"4081",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0,1,"Physics and astronomy",0,-10000,0,NA
"4082",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0,2,"Psychology",5,-10000,5,Inf
"4083",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",5,3,"Sociology, social policy and anthropology",5,-10000,0,0
"4084",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0,1,"Sport and exercise sciences",0,-10000,0,NA
"4085",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",40,6,"Agriculture, food and related studies",45,19300,5,0.125
"4086",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",50,10,"Allied health",75,22300,25,0.5
"4087",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",15,7,"Architecture, building and planning",20,14200,5,0.333333333333333
"4088",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",80,13,"Biosciences",105,17900,25,0.3125
"4089",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",540,23,"Business and management",570,21500,30,0.0555555555555556
"4090",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",30,7,"Chemistry",40,23700,10,0.333333333333333
"4091",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",135,1,"Combined and general studies",25,18200,-110,-0.814814814814815
"4092",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",125,15,"Computing",120,18500,-5,-0.04
"4093",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",645,18,"Creative arts and design",680,16800,35,0.0542635658914729
"4094",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",40,11,"Economics",45,23000,5,0.125
"4095",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",55,8,"Education and teaching",50,14600,-5,-0.0909090909090909
"4096",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",105,13,"Engineering",120,23700,15,0.142857142857143
"4097",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",200,16,"English studies",155,15300,-45,-0.225
"4098",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",20,4,"General, applied and forensic sciences",20,15000,0,0
"4099",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",90,11,"Geography, earth and environmental studies",85,19000,-5,-0.0555555555555556
"4100",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",10,8,"Health and social care",10,-10000,0,0
"4101",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",165,14,"History and archaeology",120,17500,-45,-0.272727272727273
"4102",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",55,11,"Languages and area studies",60,19300,5,0.0909090909090909
"4103",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",70,14,"Law",60,14600,-10,-0.142857142857143
"4104",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",45,9,"Materials and technology",25,21500,-20,-0.444444444444444
"4105",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",55,13,"Mathematical sciences",45,23700,-10,-0.181818181818182
"4106",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",195,16,"Media, journalism and communications",170,16100,-25,-0.128205128205128
"4107",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",10,5,"Medical sciences",15,18200,5,0.5
"4108",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0,1,"Medicine and dentistry",0,-10000,0,NA
"4109",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,4,"Nursing and midwifery",10,-10000,5,1
"4110",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",350,19,"Performing arts",260,13500,-90,-0.257142857142857
"4111",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",95,4,"Pharmacology, toxicology and pharmacy",60,26300,-35,-0.368421052631579
"4112",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",30,12,"Philosophy and religious studies",25,19700,-5,-0.166666666666667
"4113",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",10,4,"Physics and astronomy",15,23000,5,0.5
"4114",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",45,13,"Politics",40,16800,-5,-0.111111111111111
"4115",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",150,17,"Psychology",115,16400,-35,-0.233333333333333
"4116",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",130,14,"Sociology, social policy and anthropology",105,16400,-25,-0.192307692307692
"4117",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",105,11,"Sport and exercise sciences",90,17200,-15,-0.142857142857143
"4118",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0,1,"Veterinary sciences",0,-10000,0,NA
"4119",1,"South East","NOT KNOWN",0,1,"Agriculture, food and related studies",5,-10000,5,Inf
"4120",1,"South East","NOT KNOWN",15,10,"Allied health",15,16800,0,0
"4121",1,"South East","NOT KNOWN",15,5,"Architecture, building and planning",10,-10000,-5,-0.333333333333333
"4122",1,"South East","NOT KNOWN",15,10,"Biosciences",10,15300,-5,-0.333333333333333
"4123",1,"South East","NOT KNOWN",120,22,"Business and management",85,20800,-35,-0.291666666666667
"4124",1,"South East","NOT KNOWN",0,2,"Chemistry",5,-10000,5,Inf
"4125",1,"South East","NOT KNOWN",160,2,"Combined and general studies",35,13500,-125,-0.78125
"4126",1,"South East","NOT KNOWN",35,8,"Computing",20,22400,-15,-0.428571428571429
"4127",1,"South East","NOT KNOWN",85,16,"Creative arts and design",85,16400,0,0
"4128",1,"South East","NOT KNOWN",10,8,"Economics",10,19700,0,0
"4129",1,"South East","NOT KNOWN",40,12,"Education and teaching",30,19300,-10,-0.25
"4130",1,"South East","NOT KNOWN",20,11,"Engineering",35,18600,15,0.75
"4131",1,"South East","NOT KNOWN",60,14,"English studies",40,15000,-20,-0.333333333333333
"4132",1,"South East","NOT KNOWN",5,2,"General, applied and forensic sciences",0,-10000,-5,-1
"4133",1,"South East","NOT KNOWN",15,8,"Geography, earth and environmental studies",20,14600,5,0.333333333333333
"4134",1,"South East","NOT KNOWN",10,5,"Health and social care",10,-10000,0,0
"4135",1,"South East","NOT KNOWN",60,11,"History and archaeology",40,20400,-20,-0.333333333333333
"4136",1,"South East","NOT KNOWN",30,9,"Languages and area studies",15,20800,-15,-0.5
"4137",1,"South East","NOT KNOWN",30,10,"Law",20,19000,-10,-0.333333333333333
"4138",1,"South East","NOT KNOWN",5,4,"Materials and technology",5,-10000,0,0
"4139",1,"South East","NOT KNOWN",25,10,"Mathematical sciences",15,24100,-10,-0.4
"4140",1,"South East","NOT KNOWN",35,14,"Media, journalism and communications",35,18600,0,0
"4141",1,"South East","NOT KNOWN",5,2,"Medical sciences",0,-10000,-5,-1
"4142",1,"South East","NOT KNOWN",5,4,"Medicine and dentistry",5,-10000,0,0
"4143",1,"South East","NOT KNOWN",10,7,"Nursing and midwifery",10,14600,0,0
"4144",1,"South East","NOT KNOWN",75,18,"Performing arts",60,13900,-15,-0.2
"4145",1,"South East","NOT KNOWN",5,2,"Pharmacology, toxicology and pharmacy",5,-10000,0,0
"4146",1,"South East","NOT KNOWN",15,11,"Philosophy and religious studies",15,17500,0,0
"4147",1,"South East","NOT KNOWN",0,1,"Physics and astronomy",5,-10000,5,Inf
"4148",1,"South East","NOT KNOWN",10,6,"Politics",15,16100,5,0.5
"4149",1,"South East","NOT KNOWN",45,10,"Psychology",25,19300,-20,-0.444444444444444
"4150",1,"South East","NOT KNOWN",35,11,"Sociology, social policy and anthropology",25,15300,-10,-0.285714285714286
"4151",1,"South East","NOT KNOWN",20,9,"Sport and exercise sciences",30,18000,10,0.5
"4152",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",20,5,"Agriculture, food and related studies",10,-10000,-10,-0.5
"4153",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",10,5,"Allied health",20,15700,10,1
"4154",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",10,4,"Architecture, building and planning",5,-10000,-5,-0.5
"4155",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",45,12,"Biosciences",35,13900,-10,-0.222222222222222
"4156",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",160,13,"Business and management",125,18600,-35,-0.21875
"4157",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",0,2,"Chemistry",0,-10000,0,NA
"4158",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,3,"Combined and general studies",5,-10000,0,0
"4159",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",35,10,"Computing",35,14600,0,0
"4160",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",285,13,"Creative arts and design",210,12400,-75,-0.263157894736842
"4161",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,3,"Economics",10,-10000,5,1
"4162",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",35,9,"Education and teaching",30,14600,-5,-0.142857142857143
"4163",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",10,5,"Engineering",10,9100,0,0
"4164",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",65,8,"English studies",50,12400,-15,-0.230769230769231
"4165",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,2,"General, applied and forensic sciences",10,-10000,5,1
"4166",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",40,7,"Geography, earth and environmental studies",35,14600,-5,-0.125
"4167",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,5,"Health and social care",5,-10000,0,0
