"","X","sex.x","subject_name.x","YAG.x","SECTIONNAME.x","YAG.y","SECTIONNAME.y","count","qualification_TR.x"
"8834",8834,"M","Languages and area studies",3,"INFORMATION AND COMMUNICATION",5,"REAL ESTATE ACTIVITIES",377,"First degree"
"8835",8835,"M","Languages and area studies",3,"INFORMATION AND COMMUNICATION",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",831,"First degree"
"8836",8836,"M","Languages and area studies",3,"MANUFACTURING",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",1128,"First degree"
"8837",8837,"M","Languages and area studies",3,"MANUFACTURING",5,"AGRICULTURE, FORESTRY AND FISHING",453,"First degree"
"8838",8838,"M","Languages and area studies",3,"MANUFACTURING",5,"OTHER SERVICE ACTIVITIES",1381,"First degree"
"8839",8839,"M","Languages and area studies",3,"MANUFACTURING",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",326,"First degree"
"8840",8840,"M","Languages and area studies",3,"MANUFACTURING",5,"REAL ESTATE ACTIVITIES",385,"First degree"
"8841",8841,"M","Languages and area studies",3,"MINING AND QUARRYING",5,"MINING AND QUARRYING",948,"First degree"
"8842",8842,"M","Languages and area studies",3,"OTHER SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",964,"First degree"
"8843",8843,"M","Languages and area studies",3,"OTHER SERVICE ACTIVITIES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",248,"First degree"
"8844",8844,"M","Languages and area studies",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"CONSTRUCTION",3218,"First degree"
"8845",8845,"M","Languages and area studies",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"OTHER SERVICE ACTIVITIES",1759,"First degree"
"8846",8846,"M","Languages and area studies",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",875,"First degree"
"8847",8847,"M","Languages and area studies",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"REAL ESTATE ACTIVITIES",177,"First degree"
"8848",8848,"M","Languages and area studies",3,"REAL ESTATE ACTIVITIES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",1232,"First degree"
"8849",8849,"M","Languages and area studies",3,"REAL ESTATE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",1199,"First degree"
"8850",8850,"M","Languages and area studies",3,"TRANSPORTATION AND STORAGE",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",98,"First degree"
"8851",8851,"M","Languages and area studies",3,"TRANSPORTATION AND STORAGE",5,"INFORMATION AND COMMUNICATION",1233,"First degree"
"8852",8852,"M","Languages and area studies",3,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",619,"First degree"
"8853",8853,"M","Languages and area studies",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",828,"First degree"
"8854",8854,"M","Languages and area studies",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"CONSTRUCTION",160,"First degree"
"8855",8855,"M","Languages and area studies",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",1318,"First degree"
"8856",8856,"M","Languages and area studies",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"TRANSPORTATION AND STORAGE",14,"First degree"
"8857",8857,"M","Law",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"EDUCATION",1007,"First degree"
"8858",8858,"M","Law",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",397,"First degree"
"8859",8859,"M","Law",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"MANUFACTURING",259,"First degree"
"8860",8860,"M","Law",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",109,"First degree"
"8861",8861,"M","Law",3,"ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES",5,"ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES",3449,"First degree"
"8862",8862,"M","Law",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",2179,"First degree"
"8863",8863,"M","Law",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",2515,"First degree"
"8864",8864,"M","Law",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",150,"First degree"
"8865",8865,"M","Law",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"CONSTRUCTION",511,"First degree"
"8866",8866,"M","Law",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"INFORMATION AND COMMUNICATION",98,"First degree"
"8867",8867,"M","Law",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"MANUFACTURING",637,"First degree"
"8868",8868,"M","Law",3,"CONSTRUCTION",5,"INFORMATION AND COMMUNICATION",2384,"First degree"
"8869",8869,"M","Law",3,"CONSTRUCTION",5,"MANUFACTURING",940,"First degree"
"8870",8870,"M","Law",3,"CONSTRUCTION",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",2246,"First degree"
"8871",8871,"M","Law",3,"EDUCATION",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",473,"First degree"
"8872",8872,"M","Law",3,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",1471,"First degree"
"8873",8873,"M","Law",3,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",5,"EDUCATION",2748,"First degree"
"8874",8874,"M","Law",3,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",5,"MANUFACTURING",679,"First degree"
"8875",8875,"M","Law",3,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",1896,"First degree"
"8876",8876,"M","Law",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",2345,"First degree"
"8877",8877,"M","Law",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",1995,"First degree"
"8878",8878,"M","Law",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"REAL ESTATE ACTIVITIES",89,"First degree"
"8879",8879,"M","Law",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",2675,"First degree"
"8880",8880,"M","Law",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"EDUCATION",269,"First degree"
"8881",8881,"M","Law",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"INFORMATION AND COMMUNICATION",763,"First degree"
"8882",8882,"M","Law",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",22,"First degree"
"8883",8883,"M","Law",3,"INFORMATION AND COMMUNICATION",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",898,"First degree"
"8884",8884,"M","Law",3,"INFORMATION AND COMMUNICATION",5,"TRANSPORTATION AND STORAGE",219,"First degree"
"8885",8885,"M","Law",3,"MANUFACTURING",5,"INFORMATION AND COMMUNICATION",2133,"First degree"
"8886",8886,"M","Law",3,"MANUFACTURING",5,"TRANSPORTATION AND STORAGE",2610,"First degree"
"8887",8887,"M","Law",3,"MANUFACTURING",5,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",1607,"First degree"
"8888",8888,"M","Law",3,"OTHER SERVICE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",1221,"First degree"
"8889",8889,"M","Law",3,"OTHER SERVICE ACTIVITIES",5,"MANUFACTURING",123,"First degree"
"8890",8890,"M","Law",3,"OTHER SERVICE ACTIVITIES",5,"TRANSPORTATION AND STORAGE",218,"First degree"
"8891",8891,"M","Law",3,"OTHER SERVICE ACTIVITIES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1425,"First degree"
"8892",8892,"M","Law",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"ARTS, ENTERTAINMENT AND RECREATION",437,"First degree"
"8893",8893,"M","Law",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",1909,"First degree"
"8894",8894,"M","Law",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"MINING AND QUARRYING",886,"First degree"
"8895",8895,"M","Law",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",92,"First degree"
"8896",8896,"M","Law",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",223,"First degree"
"8897",8897,"M","Law",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"CONSTRUCTION",2496,"First degree"
"8898",8898,"M","Law",3,"REAL ESTATE ACTIVITIES",5,"OTHER SERVICE ACTIVITIES",999,"First degree"
"8899",8899,"M","Law",3,"REAL ESTATE ACTIVITIES",5,"TRANSPORTATION AND STORAGE",893,"First degree"
"8900",8900,"M","Law",3,"REAL ESTATE ACTIVITIES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",494,"First degree"
"8901",8901,"M","Law",3,"TRANSPORTATION AND STORAGE",5,"EDUCATION",2328,"First degree"
"8902",8902,"M","Law",3,"TRANSPORTATION AND STORAGE",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",503,"First degree"
"8903",8903,"M","Law",3,"TRANSPORTATION AND STORAGE",5,"INFORMATION AND COMMUNICATION",742,"First degree"
"8904",8904,"M","Law",3,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",5,"EDUCATION",343,"First degree"
"8905",8905,"M","Law",3,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",3060,"First degree"
"8906",8906,"M","Law",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"ARTS, ENTERTAINMENT AND RECREATION",709,"First degree"
"8907",8907,"M","Law",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"MINING AND QUARRYING",460,"First degree"
"8908",8908,"M","Law",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"OTHER SERVICE ACTIVITIES",1322,"First degree"
"8909",8909,"M","Materials and technology",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",452,"First degree"
"8910",8910,"M","Materials and technology",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"ARTS, ENTERTAINMENT AND RECREATION",54,"First degree"
"8911",8911,"M","Materials and technology",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"EDUCATION",1844,"First degree"
"8912",8912,"M","Materials and technology",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1804,"First degree"
"8913",8913,"M","Materials and technology",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"INFORMATION AND COMMUNICATION",2144,"First degree"
"8914",8914,"M","Materials and technology",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"MANUFACTURING",653,"First degree"
"8915",8915,"M","Materials and technology",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"EDUCATION",974,"First degree"
"8916",8916,"M","Materials and technology",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",682,"First degree"
"8917",8917,"M","Materials and technology",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"TRANSPORTATION AND STORAGE",152,"First degree"
"8918",8918,"M","Materials and technology",3,"AGRICULTURE, FORESTRY AND FISHING",5,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",959,"First degree"
"8919",8919,"M","Materials and technology",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"EDUCATION",1493,"First degree"
"8920",8920,"M","Materials and technology",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"FINANCIAL AND INSURANCE ACTIVITIES",2481,"First degree"
"8921",8921,"M","Materials and technology",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"INFORMATION AND COMMUNICATION",2472,"First degree"
"8922",8922,"M","Materials and technology",3,"CONSTRUCTION",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",988,"First degree"
"8923",8923,"M","Materials and technology",3,"EDUCATION",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",904,"First degree"
"8924",8924,"M","Materials and technology",3,"EDUCATION",5,"FINANCIAL AND INSURANCE ACTIVITIES",1567,"First degree"
"8925",8925,"M","Materials and technology",3,"EDUCATION",5,"MANUFACTURING",1460,"First degree"
"8926",8926,"M","Materials and technology",3,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",5,"INFORMATION AND COMMUNICATION",90,"First degree"
"8927",8927,"M","Materials and technology",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",507,"First degree"
"8928",8928,"M","Materials and technology",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"EDUCATION",660,"First degree"
"8929",8929,"M","Materials and technology",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",560,"First degree"
"8930",8930,"M","Materials and technology",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"REAL ESTATE ACTIVITIES",2136,"First degree"
"8931",8931,"M","Materials and technology",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",1565,"First degree"
"8932",8932,"M","Materials and technology",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"EDUCATION",458,"First degree"
"8933",8933,"M","Materials and technology",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"REAL ESTATE ACTIVITIES",1092,"First degree"
"8934",8934,"M","Materials and technology",3,"INFORMATION AND COMMUNICATION",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",117,"First degree"
"8935",8935,"M","Materials and technology",3,"INFORMATION AND COMMUNICATION",5,"ARTS, ENTERTAINMENT AND RECREATION",2023,"First degree"
"8936",8936,"M","Materials and technology",3,"INFORMATION AND COMMUNICATION",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1961,"First degree"
"8937",8937,"M","Materials and technology",3,"INFORMATION AND COMMUNICATION",5,"MANUFACTURING",1969,"First degree"
"8938",8938,"M","Materials and technology",3,"INFORMATION AND COMMUNICATION",5,"REAL ESTATE ACTIVITIES",212,"First degree"
"8939",8939,"M","Materials and technology",3,"MANUFACTURING",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",535,"First degree"
"8940",8940,"M","Materials and technology",3,"MANUFACTURING",5,"AGRICULTURE, FORESTRY AND FISHING",1168,"First degree"
"8941",8941,"M","Materials and technology",3,"MANUFACTURING",5,"CONSTRUCTION",2499,"First degree"
"8942",8942,"M","Materials and technology",3,"MANUFACTURING",5,"FINANCIAL AND INSURANCE ACTIVITIES",1165,"First degree"
"8943",8943,"M","Materials and technology",3,"MANUFACTURING",5,"REAL ESTATE ACTIVITIES",1242,"First degree"
"8944",8944,"M","Materials and technology",3,"MANUFACTURING",5,"TRANSPORTATION AND STORAGE",1518,"First degree"
"8945",8945,"M","Materials and technology",3,"MINING AND QUARRYING",5,"MINING AND QUARRYING",320,"First degree"
"8946",8946,"M","Materials and technology",3,"OTHER SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",743,"First degree"
"8947",8947,"M","Materials and technology",3,"OTHER SERVICE ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",424,"First degree"
"8948",8948,"M","Materials and technology",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"ARTS, ENTERTAINMENT AND RECREATION",730,"First degree"
"8949",8949,"M","Materials and technology",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"CONSTRUCTION",929,"First degree"
"8950",8950,"M","Materials and technology",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"TRANSPORTATION AND STORAGE",819,"First degree"
"8951",8951,"M","Materials and technology",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",1512,"First degree"
"8952",8952,"M","Materials and technology",3,"REAL ESTATE ACTIVITIES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",820,"First degree"
"8953",8953,"M","Materials and technology",3,"REAL ESTATE ACTIVITIES",5,"INFORMATION AND COMMUNICATION",228,"First degree"
"8954",8954,"M","Materials and technology",3,"TRANSPORTATION AND STORAGE",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",189,"First degree"
"8955",8955,"M","Materials and technology",3,"TRANSPORTATION AND STORAGE",5,"INFORMATION AND COMMUNICATION",2594,"First degree"
"8956",8956,"M","Materials and technology",3,"TRANSPORTATION AND STORAGE",5,"MANUFACTURING",1391,"First degree"
"8957",8957,"M","Materials and technology",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"AGRICULTURE, FORESTRY AND FISHING",193,"First degree"
"8958",8958,"M","Materials and technology",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",2766,"First degree"
"8959",8959,"M","Materials and technology",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"OTHER SERVICE ACTIVITIES",1463,"First degree"
"8960",8960,"M","Materials and technology",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",157,"First degree"
"8961",8961,"M","Materials and technology",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"REAL ESTATE ACTIVITIES",286,"First degree"
"8962",8962,"M","Mathematical sciences",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",432,"First degree"
"8963",8963,"M","Mathematical sciences",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"ARTS, ENTERTAINMENT AND RECREATION",2039,"First degree"
"8964",8964,"M","Mathematical sciences",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1709,"First degree"
"8965",8965,"M","Mathematical sciences",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",368,"First degree"
"8966",8966,"M","Mathematical sciences",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",635,"First degree"
"8967",8967,"M","Mathematical sciences",3,"AGRICULTURE, FORESTRY AND FISHING",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",728,"First degree"
"8968",8968,"M","Mathematical sciences",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",729,"First degree"
"8969",8969,"M","Mathematical sciences",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"OTHER SERVICE ACTIVITIES",1136,"First degree"
"8970",8970,"M","Mathematical sciences",3,"CONSTRUCTION",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",955,"First degree"
"8971",8971,"M","Mathematical sciences",3,"CONSTRUCTION",5,"REAL ESTATE ACTIVITIES",2056,"First degree"
"8972",8972,"M","Mathematical sciences",3,"CONSTRUCTION",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",962,"First degree"
"8973",8973,"M","Mathematical sciences",3,"EDUCATION",5,"INFORMATION AND COMMUNICATION",674,"First degree"
"8974",8974,"M","Mathematical sciences",3,"EDUCATION",5,"OTHER SERVICE ACTIVITIES",191,"First degree"
"8975",8975,"M","Mathematical sciences",3,"EDUCATION",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",1489,"First degree"
"8976",8976,"M","Mathematical sciences",3,"EDUCATION",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1832,"First degree"
"8977",8977,"M","Mathematical sciences",3,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1082,"First degree"
"8978",8978,"M","Mathematical sciences",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",2231,"First degree"
"8979",8979,"M","Mathematical sciences",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"ARTS, ENTERTAINMENT AND RECREATION",959,"First degree"
"8980",8980,"M","Mathematical sciences",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"TRANSPORTATION AND STORAGE",2662,"First degree"
"8981",8981,"M","Mathematical sciences",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"EDUCATION",1106,"First degree"
"8982",8982,"M","Mathematical sciences",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"INFORMATION AND COMMUNICATION",535,"First degree"
"8983",8983,"M","Mathematical sciences",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",403,"First degree"
"8984",8984,"M","Mathematical sciences",3,"MANUFACTURING",5,"AGRICULTURE, FORESTRY AND FISHING",1114,"First degree"
"8985",8985,"M","Mathematical sciences",3,"MANUFACTURING",5,"ARTS, ENTERTAINMENT AND RECREATION",598,"First degree"
"8986",8986,"M","Mathematical sciences",3,"MANUFACTURING",5,"TRANSPORTATION AND STORAGE",1209,"First degree"
"8987",8987,"M","Mathematical sciences",3,"MINING AND QUARRYING",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",870,"First degree"
"8988",8988,"M","Mathematical sciences",3,"OTHER SERVICE ACTIVITIES",5,"EDUCATION",1531,"First degree"
"8989",8989,"M","Mathematical sciences",3,"OTHER SERVICE ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",2067,"First degree"
"8990",8990,"M","Mathematical sciences",3,"OTHER SERVICE ACTIVITIES",5,"INFORMATION AND COMMUNICATION",364,"First degree"
"8991",8991,"M","Mathematical sciences",3,"OTHER SERVICE ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1842,"First degree"
"8992",8992,"M","Mathematical sciences",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",873,"First degree"
"8993",8993,"M","Mathematical sciences",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",796,"First degree"
"8994",8994,"M","Mathematical sciences",3,"TRANSPORTATION AND STORAGE",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",1186,"First degree"
"8995",8995,"M","Mathematical sciences",3,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",5,"TRANSPORTATION AND STORAGE",1038,"First degree"
"8996",8996,"M","Mathematical sciences",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"CONSTRUCTION",618,"First degree"
"8997",8997,"M","Mathematical sciences",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",585,"First degree"
"8998",8998,"M","Mathematical sciences",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"REAL ESTATE ACTIVITIES",1874,"First degree"
"8999",8999,"M","Mathematical sciences",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"TRANSPORTATION AND STORAGE",468,"First degree"
"9000",9000,"M","Media, journalism and communications",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"AGRICULTURE, FORESTRY AND FISHING",2837,"First degree"
"9001",9001,"M","Media, journalism and communications",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",1505,"First degree"
"9002",9002,"M","Media, journalism and communications",3,"AGRICULTURE, FORESTRY AND FISHING",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",1405,"First degree"
"9003",9003,"M","Media, journalism and communications",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"MANUFACTURING",362,"First degree"
"9004",9004,"M","Media, journalism and communications",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"REAL ESTATE ACTIVITIES",1303,"First degree"
